"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"GOLM1",8.32194738946491,7.59153343751279,8.33157488112329,8.7910453687128,8.4598936977745,8.52738809844618,8.83300178845045,8.98461735940452
"SUCO",8.3914405324422,8.09969855054131,8.88092240016247,8.32890049916612,8.67511273733708,8.76949069670798,8.92221113800135,9.07168976343086
"TAF9B",4.28697009517635,5.48196322306767,5.08446171246455,6.07153785654596,4.92823020925585,5.28423042634561,6.81570683263478,6.89769196704094
"RBMX2",6.77372895780182,6.30198623627056,6.94470025416332,6.48647263035558,6.94338618177223,6.92647328397909,6.81045416720084,7.18075513667322
"ARID4B",5.69777674881142,5.54863321300052,6.00280402097229,5.50561605352311,6.06787489527164,5.96007025817981,5.85811870254299,6.12128034556372
"PGM3",6.3163001682383,6.38394545380898,6.48554284545675,6.88142308687897,6.63080537265316,6.61305121718697,7.45425173263839,7.6089644146849
"PHKB",6.04432236817404,6.34643092041782,6.23195669940327,6.93870158362808,6.34839021328026,6.33400174985361,7.35353917857748,7.2181660003166
"PLAT",8.61714226047563,7.11316976277616,8.85643057862512,10.6051666194641,8.70603658534485,8.85324160414369,10.4161528753895,10.6336550965471
"PLAU",8.98359382127865,9.88987816653872,9.07658275349752,9.16928965371021,10.7564303525885,10.9279904471762,11.3396780465681,11.2147297702762
"PLCB4",5.29450036613903,6.08607171183678,5.65843994941591,6.61997485007845,5.79620068045122,5.96934123755777,7.0352849329278,7.15275588651022
"PELO",8.04085862989434,7.98628095366991,8.14508357098065,8.5425404054443,8.16686856913436,8.19415856898655,8.8558608679716,8.89429902776978
"RC3H2",7.48966097192038,7.36323726008056,7.46030051117905,8.02016745052914,7.46105489866993,7.65125755989221,8.32133952213061,8.38258390265446
"GNL3L",5.56337780894658,5.9534614437819,5.6133468407249,6.19534382489811,5.66089875028338,5.78246688982267,6.80638384469326,6.97015230315149
"MPHOSPH8",6.85363411137688,6.42528580085367,6.95438839198897,6.47492588597752,7.21253310743014,6.96159549772802,7.04125130387157,7.02919567925923
"PPID",7.15450533670445,7.58144949970001,7.2644015715689,7.89409873599618,7.30069269298843,7.4396653753189,8.35564297512361,8.42850700550962
"TIPIN",4.88838432490444,5.57492836379945,4.98436865684564,5.89461148164682,5.4059005605256,5.37424076066117,6.23941609004366,6.48373849233829
"FANCL",4.91163261044793,5.8646499547559,5.51347341002159,5.84853500434499,5.55064286826298,5.41314988801274,6.3451935969838,6.74368640986633
"QRSL1",6.11251324051873,6.11116570425622,6.56008922903335,6.29856391727772,6.62262023376042,6.46651753935168,6.60121775148784,6.73058608566286
